               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061169,            0.024883,                   0,             0.59043,             0.65011,             0.62907,             0.30876,            0.035008,            0.010105,                   0,            0.070058,           0.0033269,           0.0033269
                   1,            0.042482,            0.019226,                   0,             0.78124,             0.79535,             0.82299,             0.43594,            0.025091,           0.0090239,                   0,            0.039838,           0.0064404,           0.0064404
                   2,            0.039061,            0.018195,                   0,             0.76554,              0.7842,             0.80999,             0.41034,            0.027678,           0.0087833,                   0,           0.0093987,            0.009334,            0.009334
                   3,            0.037514,            0.018457,                   0,             0.70871,             0.76638,             0.74057,             0.39161,            0.027453,           0.0094945,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.034824,            0.017996,                   0,             0.77958,             0.77948,             0.81126,              0.4705,            0.024314,           0.0084292,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.033911,             0.01777,                   0,             0.78354,             0.80568,             0.82656,             0.47667,            0.022564,           0.0085211,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.032337,            0.017647,                   0,             0.80104,             0.82632,             0.86548,             0.49571,            0.023859,           0.0082511,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.031429,            0.017284,                   0,             0.82863,             0.84461,             0.87274,             0.51936,            0.021784,           0.0080406,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.030582,             0.01697,                   0,             0.81212,             0.83996,             0.86577,             0.52105,            0.023172,           0.0079881,                   0,             0.00769,             0.00769,             0.00769
                   9,             0.03054,            0.016868,                   0,             0.80229,             0.83406,             0.84776,             0.50302,            0.023263,           0.0081836,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.029598,            0.016439,                   0,             0.83415,             0.85153,             0.87756,             0.54306,            0.021813,           0.0080771,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.029044,             0.01624,                   0,              0.8206,             0.87773,             0.86573,             0.54239,             0.02119,           0.0078851,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.029081,            0.015943,                   0,             0.81271,             0.87336,             0.86939,             0.54451,            0.021599,           0.0078184,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.027786,            0.015571,                   0,             0.82155,             0.88646,             0.88484,             0.56133,            0.021328,           0.0075506,                   0,             0.00604,             0.00604,             0.00604
                  14,             0.02832,            0.015633,                   0,              0.8149,             0.87118,             0.88803,              0.5519,            0.021091,           0.0076448,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.026734,            0.015257,                   0,             0.83883,             0.88637,             0.88109,             0.56542,            0.021148,           0.0073538,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.026689,            0.015063,                   0,             0.81839,             0.86245,             0.88796,             0.56728,            0.020367,           0.0075097,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.026588,             0.01513,                   0,             0.85373,             0.88428,              0.8965,             0.57079,            0.020656,           0.0074782,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.025532,            0.014917,                   0,             0.83916,             0.87714,             0.89511,             0.57455,            0.020576,           0.0076258,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.025294,            0.014712,                   0,             0.83811,              0.9043,             0.90271,             0.59819,            0.020109,           0.0074233,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.024954,              0.0145,                   0,             0.87339,             0.87359,             0.91007,              0.5996,            0.019484,           0.0074436,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.024425,            0.014349,                   0,             0.84961,             0.89301,             0.91352,             0.61005,            0.019321,           0.0072662,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.024212,            0.013935,                   0,             0.86434,             0.89033,             0.91241,             0.61068,            0.019373,           0.0072239,                   0,             0.00307,             0.00307,             0.00307
                  23,             0.02403,            0.014118,                   0,             0.85057,             0.91266,              0.9133,             0.61008,            0.019278,           0.0072778,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.023329,            0.013991,                   0,             0.85258,             0.89657,              0.9087,             0.60911,            0.018942,           0.0073157,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.023178,            0.013599,                   0,             0.88269,             0.90175,             0.92448,             0.63467,            0.019271,           0.0071462,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.022207,            0.013312,                   0,             0.89137,             0.89083,             0.92653,             0.63956,            0.018797,           0.0071571,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.022357,            0.013445,                   0,             0.88449,             0.90282,             0.92075,             0.63418,            0.018623,           0.0071192,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.021569,            0.013121,                   0,             0.87303,             0.90076,             0.91926,             0.63444,            0.018433,           0.0072045,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.021469,            0.012931,                   0,              0.8824,             0.88466,             0.91293,             0.63334,            0.018612,           0.0072368,                   0,             0.00076,             0.00076,             0.00076
